,id,name,terminalName,lat,long,installed,locked,installDate,removalDate,temporary,nbBikes,nbEmptyDocks,nbDocks
58,60,"Lisson Grove, St. John's Wood",001030,51.52644828,-0.172190727,true,false,1278769140000,,false,4,13,18
59,61,"Great Dover Street, The Borough",001017,51.49738251,-0.089446947,true,false,1278773820000,,false,18,15,33
60,62,"Cotton Garden Estate, Kennington",000990,51.4907579,-0.106323685,true,false,1278773940000,,false,14,9,24
61,63,"Murray Grove , Hoxton",000989,51.53089041,-0.089782579,true,false,1278774120000,,false,17,10,27
62,64,"William IV Street, Strand",001028,51.50946212,-0.124749274,true,false,1278774300000,,false,3,21,26
63,65,"Gower Place , Euston",000969,51.52522753,-0.13518856,true,false,1278840660000,,false,2,15,17
64,66,"Holborn Circus, Holborn",000982,51.51795029,-0.108657431,true,false,1278845280000,1393938240000,false,28,7,40
65,67,"Hatton Garden, Holborn",000985,51.51882555,-0.108028472,true,false,1278847440000,,false,10,17,28
66,68,"Theobald's Road , Holborn",000975,51.52059681,-0.116688468,true,false,1278857040000,,false,3,22,26
67,69,"Euston Road, Euston",000983,51.5262363,-0.134407652,true,false,1278861540000,,false,8,16,24
68,70,"Calshot Street , King's Cross",001066,51.53136059,-0.117069978,true,false,1278863340000,,false,15,9,24
69,71,"Newgate Street , St. Paul's",001074,51.5154186,-0.098850915,true,false,1278924900000,,false,14,18,34
70,72,"Farringdon Lane, Clerkenwell",003432,51.52352001,-0.108340165,true,false,1278936060000,,false,12,4,16
71,73,"Old Street Station, St. Luke's",001064,51.52572618,-0.088486188,true,false,1278941040000,,false,2,34,37
72,74,"Vauxhall Cross, Vauxhall",001000,51.48591714,-0.124469948,true,false,1278941160000,,false,6,8,17
73,75,"Torrens Street, Angel",001060,51.53219984,-0.105480698,true,false,1278945180000,,false,3,16,19
74,76,"Longford Street, The Regent's Park",000976,51.52559505,-0.144083893,true,false,1278946560000,,false,5,16,21
75,77,"Russell Square Station, Bloomsbury",000978,51.52341837,-0.124121774,true,false,1278946860000,,false,11,15,26
76,78,"Sadlers Sports Centre, Finsbury",003433,51.52486887,-0.099489485,true,false,1278948480000,,false,5,12,17
77,80,"Webber Street , Southwark",003448,51.50069361,-0.102091246,true,false,1278952440000,,false,11,34,45
78,81,"Great Titchfield Street, Fitzrovia",003450,51.52025302,-0.141327271,true,false,1279012980000,,false,5,11,19
79,82,"Chancery Lane, Holborn",003453,51.514274,-0.111257,true,false,1279015680000,,false,4,11,15
80,83,"Panton Street, West End",003452,51.50963938,-0.131510949,true,false,1279015800000,,false,1,20,21
81,84,"Breams Buildings, Holborn",003449,51.51593725,-0.111778348,true,false,1279020240000,,false,18,7,25
82,85,"Tanner Street, Bermondsey",000994,51.50064702,-0.078600401,true,false,1279026060000,,false,17,20,39
83,86,"Sancroft Street, Vauxhall",003434,51.48947903,-0.115156562,true,false,1279027140000,,false,12,12,24
84,87,"Devonshire Square, Liverpool Street",003438,51.51646835,-0.079684557,true,false,1279027680000,,false,1,15,16
85,88,"Bayley Street , Bloomsbury",001006,51.51858757,-0.132053392,true,false,1279028280000,,false,8,17,25
86,89,"Tavistock Place, Bloomsbury",003439,51.5262503,-0.123509611,true,false,1279029360000,,false,8,11,19
87,90,"Harrington Square 1, Camden Town",001038,51.53301907,-0.139174593,true,false,1279030020000,,false,12,15,27
88,91,"Walnut Tree Walk, Vauxhall",001076,51.49368637,-0.111014912,true,false,1279036740000,,false,3,17,20
89,92,"Borough Road, Elephant & Castle",001082,51.49889832,-0.100440521,true,false,1279037040000,,false,35,6,41
90,93,"Cloudesley Road, Angel",002586,51.53440868,-0.109025404,true,false,1279037760000,,false,21,16,37
91,94,"Bricklayers Arms, Borough",001070,51.49506109,-0.085814489,true,false,1279038420000,,false,16,11,28
92,95,"Aldersgate Street, Barbican",001065,51.5208417,-0.097340162,true,false,1279096560000,,false,5,10,15
93,96,"Falkirk Street, Hoxton",001047,51.53095071,-0.078505384,true,false,1279096980000,,false,8,17,26
94,97,"Gloucester Road (North), Kensington",003447,51.49792478,-0.183834706,true,false,1279097580000,,false,10,6,18
95,98,"Hampstead Road, Euston",000972,51.52554222,-0.138231303,true,false,1279099080000,,false,20,34,54
96,99,"Old Quebec Street, Marylebone",001085,51.51457763,-0.158264483,true,false,1279099680000,,false,5,11,16
97,100,"Albert Embankment, Vauxhall",001059,51.49043573,-0.122806861,true,false,1279099860000,,false,18,5,24
98,101,"Queen Street 1, Bank",000999,51.51155322,-0.0929401,true,false,1279102680000,,false,2,19,22
99,102,"Jewry Street, Aldgate",001045,51.51340693,-0.076793375,true,false,1279102860000,,false,5,12,17
100,103,"Vicarage Gate, Kensington",003441,51.50472376,-0.192538767,true,false,1279103520000,,false,5,13,18
101,104,"Crosswall, Tower",000991,51.51159481,-0.077121322,true,false,1279103760000,,false,4,30,34
102,105,"Westbourne Grove, Bayswater",001041,51.51552971,-0.190240716,true,false,1279105320000,,false,14,12,26
103,106,"Woodstock Street, Mayfair",001042,51.51410514,-0.147301667,true,false,1279106880000,,false,2,18,21
104,107,"Finsbury Leisure Centre, St. Luke's",001049,51.52600832,-0.096317627,true,false,1279107480000,,false,9,10,20
105,108,"Abbey Orchard Street, Westminster",003429,51.49812559,-0.132102166,true,false,1279107720000,,false,7,21,29
106,109,"Soho Square , Soho",001052,51.51563144,-0.132328837,true,false,1279108320000,,false,6,50,57
107,110,"Wellington Road, St. John's Wood",001055,51.53304322,-0.172528678,true,false,1279108920000,,false,9,7,17
108,111,"Park Lane , Hyde Park",001037,51.5100172,-0.157275636,true,false,1279109160000,,false,12,13,28
109,112,"Stonecutter Street, Holborn",001061,51.51580998,-0.105270275,true,false,1279115460000,,false,16,26,42
110,113,"Gloucester Road (Central), South Kensington",003435,51.49646288,-0.183289032,true,false,1279116600000,,false,2,17,19
111,114,"Park Road (Baker Street), The Regent's Park",001050,51.52451738,-0.158963647,true,false,1279119900000,,false,2,19,22
112,115,"Braham Street, Aldgate",001062,51.51423368,-0.073537654,true,false,1279120680000,,false,6,27,34
113,116,"Little Argyll Street, West End",000995,51.51449962,-0.141423695,true,false,1279122360000,,false,2,18,21
114,117,"Lollard Street, Vauxhall",000998,51.49288067,-0.114934001,true,false,1279124220000,,false,20,4,25
115,118,"Rochester Row, Westminster",003457,51.49582705,-0.13547809,true,false,1279124520000,,false,1,12,13
116,119,"Bath Street, St. Luke's",000964,51.52589324,-0.090847761,true,false,1279124760000,,false,3,10,18
117,120,"The Guildhall, Guildhall",001044,51.51573534,-0.093080779,true,false,1279187040000,,false,10,7,17
118,121,"Baker Street, Marylebone",001086,51.51891348,-0.156166631,true,false,1279189200000,,false,1,20,21
119,122,"Norton Folgate, Liverpool Street",001068,51.52111369,-0.078869751,true,false,1279190040000,,false,13,8,23
120,123,"St. John Street, Finsbury",000992,51.52836014,-0.104724625,true,false,1279191300000,,false,6,10,18
121,124,"Eaton Square, Belgravia",001069,51.49654462,-0.150905245,true,false,1279191540000,,false,10,10,20
122,125,"Borough High Street, The Borough",000996,51.50069491,-0.094524319,true,false,1279192200000,,false,12,9,21
123,126,"Museum of London, Barbican",001043,51.51782144,-0.096496865,true,false,1279193340000,,false,9,43,52
124,127,"Wood Street, Guildhall",001063,51.51700801,-0.09388536,true,false,1279193520000,,false,6,11,17
125,128,"Emperor's Gate, South Kensington",001116,51.49536226,-0.185296516,true,false,1279194060000,,false,15,6,22
126,129,"Golden Square, Soho",003451,51.5118973,-0.137043852,true,false,1279198500000,,false,9,9,18
127,130,"Tower Gardens , Tower",001071,51.50950627,-0.075459482,true,false,1279198800000,,false,4,19,24
128,131,"Eversholt Street , Camden Town",001005,51.53300545,-0.136792671,true,false,1279199280000,,false,5,9,16
129,132,"Bethnal Green Road, Shoreditch",000973,51.52364804,-0.074754872,true,false,1279199520000,,false,20,16,38
130,133,"Derry Street, Kensington",003436,51.50136494,-0.191462381,true,false,1279200240000,,false,12,4,18
131,134,"Wapping High Street, Wapping",001039,51.504904,-0.06797,true,false,1279200900000,,false,16,3,20
132,135,"Clerkenwell Green, Clerkenwell",001053,51.52326004,-0.104708922,true,false,1279201080000,,false,12,9,21
133,136,"Queen Victoria Street, St. Paul's",001048,51.51196176,-0.097441687,true,false,1279201200000,,false,13,18,32
134,138,"Green Street, Mayfair",003464,51.51227622,-0.157436972,true,false,1279205220000,,false,1,18,19
135,139,"Lambeth Road, Vauxhall",001078,51.49488108,-0.117974901,true,false,1279205460000,,false,11,7,18
136,140,"Finsbury Square , Moorgate",001056,51.52096262,-0.085634242,true,false,1279205580000,,false,5,27,33
137,141,"Chapel Place, Marylebone",001003,51.51530805,-0.147203711,true,false,1279210980000,,false,11,18,29
138,142,"West Cromwell Road, Earl's Court",001001,51.49372451,-0.198286569,true,false,1279211220000,,false,16,8,24
139,143,"Pont Street, Knightsbridge",001114,51.4968865,-0.161203828,true,false,1279211400000,,false,22,2,24
140,144,"Kennington Cross, Kennington",001093,51.48894022,-0.111435796,true,false,1279211580000,,false,34,11,47
141,145,"Ilchester Place, Kensington",001115,51.50074359,-0.202759212,true,false,1279212180000,,false,3,20,24
142,146,"Vauxhall Bridge , Pimlico",001046,51.48836528,-0.129361842,true,false,1279212360000,,false,10,24,35
143,147,"Portugal Street, Holborn",003456,51.51494305,-0.11614642,true,false,1279214760000,,false,1,15,16
144,148,"Tachbrook Street, Victoria",000965,51.49211134,-0.138364847,true,false,,,false,14,1,16
145,149,"Kennington Road Post Office, Oval",001073,51.48478899,-0.110683213,true,false,1279215360000,,false,15,3,18
146,150,"Holy Trinity Brompton, Knightsbridge",001002,51.49705603,-0.168917077,true,false,1279215540000,,false,11,17,28
147,151,"Chepstow Villas, Notting Hill",001120,51.51213691,-0.201554966,true,false,1279215720000,,false,18,8,26
148,152,"Hampton Street, Walworth",001118,51.49217002,-0.101536865,true,false,1279215900000,,false,13,6,21
149,154,"Waterloo Station 3, Waterloo",001072,51.50379168,-0.11282408,true,false,,,false,29,6,35
150,155,"Lexham Gardens, Kensington",001121,51.49586666,-0.191933711,true,false,1279272660000,,false,9,10,19
151,156,"New Kent Road, The Borough",000966,51.49443626,-0.092921165,true,false,1279273080000,,false,18,12,33
152,157,"Wright's Lane, Kensington",001094,51.50039792,-0.193068385,true,false,1279273200000,,false,14,23,37
153,158,"Trebovir Road, Earl's Court",001113,51.49085368,-0.196170309,true,false,1279273320000,,false,12,6,18
154,159,"Great Marlborough Street, Soho",001125,51.51461995,-0.137841333,true,false,1279273560000,,false,11,28,39
